You didn't specify a land-sea mask. It's faster if you do,so this might take a while.
         28372578 function calls (28300302 primitive calls) in 300.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/hashlib.py:79(__get_builtin_constructor)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/computation/scope.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/bottleneck/benchmark/bench.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/shape_base.py:1(<module>)
        4    0.001    0.000    0.002    0.000 {cftime._cftime.num2date}
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:1(<module>)
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/decimal.py:2(<module>)
     1280    0.002    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/process.py:94(<genexpr>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/internals/managers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_type_aliases.py:1(<module>)
      163    0.002    0.000    0.002    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/multi.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/plotting/_core.py:1(<module>)
     9016    0.002    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/contextlib.py:479(__enter__)
      524    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
        5    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/gettext.py:735(gettext)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/tools/datetimes.py:1(<module>)
        5    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/gettext.py:660(dgettext)
      790    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       10    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/extras.py:235(__init__)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/construction.py:1(<module>)
      640    0.002    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/context.py:233(get_context)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/twodim_base.py:1(<module>)
        5    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/gettext.py:579(translation)
     9208    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
       10    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/extras.py:239(getdoc)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/groupby.py:1284(GroupBy)
       22    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/__init__.py:152(flex_method_SERIES)
        5    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/gettext.py:538(find)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/config_init.py:1(<module>)
        2    0.002    0.001    0.002    0.001 ehfheatwaves_compound_inputthres_3.py:890(<listcomp>)
        5    0.000    0.000    0.002    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/period.py:188(__new__)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/expanding.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/rolling.py:1862(Rolling)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/multi.py:180(MultiIndex)
        1    0.000    0.000    0.002    0.002 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/indexers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/sas/__init__.py:1(<module>)
     1710    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:249(match)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/urllib/parse.py:1(<module>)
        6    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/getlimits.py:35(__init__)
      524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/_config/config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/base.py:150(Index)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/distutils/version.py:10(<module>)
       56    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/_config/config.py:728(inner)
     7850    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_methods.py:1(<module>)
       72    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/expanding.py:15(Expanding)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/logging/__init__.py:413(PercentStyle)
       56    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/_config/config.py:414(register_option)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/glob.py:10(glob)
     1593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
        6    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/glob.py:41(_iglob)
        5    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/period.py:825(period_array)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/string.py:67(__init__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/interval.py:130(IntervalArray)
    76/24    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/abc.py:100(__subclasscheck__)
    76/24    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/posixpath.py:174(lexists)
        2    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/dataclasses.py:996(dataclass)
        3    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
        2    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/dataclasses.py:1010(wrap)
       41    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1610(_is_dtype_type)
        2    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/dataclasses.py:807(_process_class)
       58    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
     1772    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:329(__hash__)
     3224    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      316    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
        5    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/dtypes/common.py:355(is_datetime64_dtype)
     1593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
        2    0.001    0.001    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pytz/lazy.py:139(__new__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/grouper.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/rolling.py:1181(RollingAndExpandingMixin)
       11    0.000    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/ntpath.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/_strptime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/interval.py:142(IntervalIndex)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/csv.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/arraysetops.py:1(<module>)
      395    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/opcode.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/popen_fork.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/reshape/pivot.py:1(<module>)
       14    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:2813(__new__)
       20    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/genericpath.py:16(exists)
       30    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/getlimits.py:41(<lambda>)
      644    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/logging/__init__.py:214(_acquireLock)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/generic.py:156(SeriesGroupBy)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/dateutil/__init__.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/bottleneck/benchmark/autotimeit.py:1(<module>)
        6    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/__init__.py:437(flex_comp_method_FRAME)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/rolling.py:76(BaseWindow)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/datetimes.py:72(DatetimeIndex)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/distutils/version.py:93(StrictVersion)
      395    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_asarray.py:1(<module>)
       38    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:1435(_alias)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/html.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/dateutil/relativedelta.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/util/_decorators.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/json/_normalize.py:4(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/formats/info.py:1(<module>)
     1336    0.001    0.000    0.001    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/_strptime.py:173(__init__)
     1106    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:172(append)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/util/hashing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/missing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/computation/align.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/strings/object_array.py:1(<module>)
     1310    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:160(__len__)
       44    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:132(get_object_signature)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arraylike.py:47(__ge__)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/extension.py:237(__getitem__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/reshape/melt.py:1(<module>)
        4    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/dateutil/parser/_parser.py:672(_parse)
        4    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/genericpath.py:39(isdir)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/locale.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/warnings.py:130(filterwarnings)
      174    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/enum.py:283(__call__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/sorting.py:1(<module>)
        6    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/dataclasses.py:375(_create_fn)
      537    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
     1852    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
       56    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:338(header_data_from_array_1_0)
       35    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:586(__init__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/range.py:1(<module>)
       75    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/bisect.py:1(<module>)
     3200    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
     3314    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arraylike.py:39(__le__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/api/types/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/plotting/_core.py:603(PlotAccessor)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/numeric.py:1(<module>)
     3314    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1246    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:324(__eq__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/ewm.py:88(ExponentialMovingWindow)
       26    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:6747(__init__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/category.py:33(CategoricalIndex)
       15    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/arrayprint.py:1500(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/missing.py:1(<module>)
      280    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/function_base.py:461(_add_docstring)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       56    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:391(_wrap_header_guess_version)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/compat/numpy/function.py:1(<module>)
      158    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:830(<genexpr>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/json/encoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/groupby.py:499(BaseGroupBy)
       26    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:6752(getdoc)
       15    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/arrayprint.py:461(wrapper)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/datetimelike.py:274(__getitem__)
      815    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/dataclasses.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/range.py:38(RangeIndex)
      517    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/histograms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:604(DatetimeTZDtype)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numexpr/expressions.py:11(<module>)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/utils.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numexpr/necompiler.py:607(NumExpr)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/formats/printing.py:1(<module>)
      742    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_parse.py:111(__init__)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:217(__getitem__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/period.py:1(<module>)
       56    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:366(_wrap_header)
      580    0.000    0.000    0.001    0.000 <string>:1(__new__)
      214    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_compile.py:423(_simple)
       52    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/common.py:26(wrapper)
      223    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/generic.py:852(DataFrameGroupBy)
      395    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
       15    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/arrayprint.py:1493(_guarded_repr_or_str)
      174    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/enum.py:562(__new__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/extension.py:1(<module>)
       52    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:889(__init__)
      640    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/_weakrefset.py:38(_remove)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/period.py:1(<module>)
        6    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/base.py:250(__new__)
     2409    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       52    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/common.py:32(_unpack_zerodim_and_defer)
        2    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/enum.py:134(__new__)
        7    0.000    0.000    0.001    0.000 {built-in method _maybe_convert_freq}
       59    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/enum.py:833(__and__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:1(<module>)
       11    0.001    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/_collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/internals/construction.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numexpr/necompiler.py:554(precompile)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/_strptime.py:49(__init__)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/computation/pytables.py:1(<module>)
      641    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      145    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/re.py:188(match)
        1    0.000    0.000    0.001    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/datetimelike.py:81(DatetimeIndexOpsMixin)
        7    0.000    0.000    0.001    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/_collections_abc.py:302(__subclasshook__)
