You didn't specify a land-sea mask. It's faster if you do,so this might take a while.
         28372578 function calls (28300302 primitive calls) in 300.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   117539    0.153    0.000    1.038    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3119(view)
       28    0.000    0.000    1.032    0.037 <__array_function__ internals>:2(append)
       28    0.000    0.000    1.032    0.037 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/function_base.py:4690(append)
       29    0.000    0.000    1.032    0.036 <__array_function__ internals>:2(concatenate)
   117536    0.068    0.000    0.853    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1540(_shrink_mask)
   527/10    0.004    0.000    0.847    0.085 <frozen importlib._bootstrap>:986(_find_and_load)
   527/10    0.003    0.000    0.847    0.085 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    485/8    0.003    0.000    0.842    0.105 <frozen importlib._bootstrap>:650(_load_unlocked)
    395/8    0.002    0.000    0.842    0.105 <frozen importlib._bootstrap_external>:777(exec_module)
    670/8    0.001    0.000    0.836    0.104 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    745/8    0.005    0.000    0.836    0.104 {built-in method builtins.exec}
   117538    0.081    0.000    0.785    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.776    0.776 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/__init__.py:3(<module>)
  7422007    0.628    0.000    0.720    0.000 {built-in method builtins.getattr}
   235072    0.595    0.000    0.595    0.000 {built-in method numpy.zeros}
    36459    0.543    0.000    0.543    0.000 {method 'read' of '_io.BufferedReader' objects}
   235072    0.130    0.000    0.533    0.000 <__array_function__ internals>:2(shape)
  3526777    0.522    0.000    0.522    0.000 {method 'update' of 'dict' objects}
   382/34    0.001    0.000    0.520    0.015 {built-in method builtins.__import__}
   163352    0.093    0.000    0.466    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/tokenize.py:98(_compile)
   352616    0.094    0.000    0.457    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1324(make_mask_descr)
     9016    0.024    0.000    0.411    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/utils.py:934(safe_eval)
   163422    0.064    0.000    0.405    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/re.py:250(compile)
  555/320    0.001    0.000    0.388    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     9016    0.031    0.000    0.388    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/ast.py:51(literal_eval)
     9072    0.015    0.000    0.379    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/tokenize.py:257(untokenize)
   352616    0.229    0.000    0.363    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1310(_replace_dtype_fields)
   163531    0.358    0.000    0.358    0.000 {method 'match' of 're.Pattern' objects}
     9072    0.221    0.000    0.357    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/tokenize.py:183(untokenize)
   163848    0.159    0.000    0.343    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/re.py:289(_compile)
  3443795    0.319    0.000    0.319    0.000 {built-in method builtins.isinstance}
470182/470172    0.286    0.000    0.286    0.000 {method 'view' of 'numpy.generic' objects}
        1    0.000    0.000    0.286    0.286 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.285    0.285 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/api.py:3(<module>)
   470149    0.169    0.000    0.283    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3633(_get_data)
     9449    0.272    0.000    0.272    0.000 {built-in method builtins.compile}
   940356    0.258    0.000    0.258    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3401(dtype)
     9016    0.010    0.000    0.255    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/ast.py:30(parse)
      395    0.015    0.000    0.254    0.001 <frozen importlib._bootstrap_external>:849(get_code)
     9020    0.013    0.000    0.227    0.000 <__array_function__ internals>:2(all)
   822796    0.149    0.000    0.212    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1357(getmask)
   235062    0.181    0.000    0.202    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3226(_scalar_heuristic)
     9020    0.018    0.000    0.197    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2355(all)
   235072    0.094    0.000    0.194    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1926(shape)
       64    0.182    0.003    0.182    0.003 {built-in method posix.listdir}
     9036    0.039    0.000    0.179    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
      522    0.005    0.000    0.172    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      517    0.001    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      517    0.003    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      679    0.009    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      395    0.004    0.000    0.153    0.000 <frozen importlib._bootstrap_external>:969(get_data)
   352648    0.151    0.000    0.151    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3417(shape)
   118196    0.148    0.000    0.148    0.000 {built-in method numpy.array}
      395    0.140    0.000    0.140    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.138    0.138 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.136    0.136 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/groupby/generic.py:1(<module>)
   352616    0.134    0.000    0.134    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1278(_replace_dtype_fields_recursive)
   235062    0.083    0.000    0.134    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:778(is_string_or_list_of_strings)
   117536    0.131    0.000    0.131    0.000 {method 'copy' of 'numpy.generic' objects}
     1885    0.124    0.000    0.124    0.000 {built-in method posix.stat}
     1861    0.001    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    84/48    0.000    0.000    0.117    0.002 <frozen importlib._bootstrap_external>:1107(exec_module)
    84/48    0.019    0.000    0.117    0.002 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.117    0.117 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/__init__.py:1(<module>)
   163448    0.084    0.000    0.113    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/types.py:171(__get__)
      671    0.001    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      729    0.001    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
  777/767    0.022    0.000    0.100    0.000 {built-in method builtins.__build_class__}
72184/9016    0.084    0.000    0.099    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/ast.py:76(_convert)
        1    0.000    0.000    0.095    0.095 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/__init__.py:1(<module>)
   163408    0.089    0.000    0.094    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/tokenize.py:170(add_whitespace)
